Nombre,Composición por 100g de Porción Comestible,Composition per 100g Edible Portion,P. comestible  por 1g,Edible P. per 1g,Energía kcal,kcal energy,Agua g,g water,Alcohol g,Alcohol g,Proteínas g,g proteins,H. de Carbono g,Carbon H. g,Almidón g,Starch g,Azúcares  sencillos g,Simple sugars g,Azúcares libres g,free sugars g,Fibra vegetal g,Vegetable fiber g,Grasa total g,Total fat g,AGS g,AGS g,AGM g,AGM g,AGP g,AGP g,Colesterol mg,Cholesterol mg,Vitamina A (Eq. de Retinol) µg,Vitamin A (Retinol Eq.) µg,Retinol µg,Retinol µg,Carotenoides (Eq. ß-caroteno)  µg,Carotenoids (Eq. ß-carotene) µg,Vit. D µg,Vit. D µg,Vit. E (Eq. a-tocoferol) mg,Vit. E (Eq. a-tocopherol) mg,Vit. K µg,Vit. K µg,Vitamina B1  mg,Vitamin B1 mg,Vitamina B2  mg,Vitamin B2 mg,Equivalentes de Niacina  mg,Niacin mg equivalents,Vit. B6  mg,Vit. B6mg,Eq. Folato dietético  µg,Eq. Dietary folate µg,Vit. B12  µg,Vit. B12 µg,Pantoténico  mg,Pantothenic mg,Biotina  µg,Biotin µg,Vit. C  mg,Vit. Cmg,Calcio  mg,Calcium mg,Fósforo  mg,Phosphorus mg,Hierro  mg,Iron mg,Iodo  µg,Iodine µg,Cinc  mg,Zinc mg,Magnesio  mg,Magnesium mg,Sodio  mg,Sodium mg,Potasio  mg,Potassium mg,Manganeso  mg,Manganese mg,Cobre  mg,Copper mg,Selenio  µg,Selenium µg
60602,Cabeza de jabalí,boar head,"0,94",0.94,534,534,"29,8",29.8,0,0,"19,4",19.4,"0,2",0.2,0,0,"0,2",0.2,"0,2",0.2,0,0,"50,6",50.6,"20,6",20.6,"23,1",23.1,4,4,80,80,___,___,0,0,___,___,"0,5",0.5,"0,07",0.07,5,5,"0,04",0.04,"0,12",0.12,___,___,"0,11",0.11,3,3,"0,8",0.8,___,___,___,___,Tr.,Tr.,21,21,59,59,"1,1",1.1,___,___,"1,4",1.4,9,9,929,929,53,53,___,___,___,___,___,___
60603,Chistorra,Chistorra,1,1,519,519,"33,3",33.3,0,0,"15,3",15.3,"0,9",0.9,0,0,"0,9",0.9,"0,9",0.9,0,0,"50,5",50.5,"26,8",26.8,"18,7",18.7,"2,6",2.6,76,76,0,0,0,0,0,0,Tr.,Tr.,"0,57",0.57,6,6,"0,56",0.56,"0,25",0.25,"11,5",11.5,"0,16",0.16,2,2,"0,85",0.85,"0,9",0.9,___,___,0,0,13,13,90,90,"1,7",1.7,11,11,"1,4",1.4,23,23,889,889,232,232,"0,04",0.04,"0,08",0.08,"21,1",21.1
60604,Chopped de cerdo,Chopped pork,1,1,293,293,"53,7",53.7,0,0,"14,4",14.4,"3,1",3.1,"2,6",2.6,"0,48",0.48,"0,48",0.48,Tr.,Tr.,"24,8",24.8,"8,5",8.5,"11,3",11.3,"2,1",2.1,70,70,0,0,0,0,0,0,Tr.,Tr.,"0,07",0.07,5,5,"0,23",0.23,"0,15",0.15,"6,6",6.6,"0,03",0.03,"0,9",0.9,2,2,"0,4",0.4,2,2,0,0,"50,6",50.6,250,250,1,1,"3,6",3.6,"2,4",2.4,"7,5",7.5,672,672,230,230,"0,02",0.02,"0,24",0.24,"17,4",17.4
60605,Chorizo,Sausage,"0,99",0.99,356,356,"43,7",43.7,0,0,"21,2",21.2,"1,9",1.9,0,0,"1,9",1.9,"1,9",1.9,0,0,"29,3",29.3,"12,4",12.4,"13,1",13.1,"2,5",2.5,"72,6",72.6,0,0,0,0,0,0,Tr.,Tr.,"0,29",0.29,6,6,"0,33",0.33,"0,15",0.15,"11,5",11.5,"0,14",0.14,"0,9",0.9,"0,9",0.9,"0,9",0.9,___,___,0,0,"18,4",18.4,270,270,"2,1",2.1,"10,9",10.9,"1,2",1.2,"10,3",10.3,1404,1404,180,180,"0,04",0.04,"0,08",0.08,"21,1",21.1
60606,Foie gras,Foie gras,1,1,324,324,"53,3",53.3,0,0,"11,9",11.9,"2,7",2.7,0,0,"2,7",2.7,"2,7",2.7,0,0,"29,5",29.5,"8,2",8.2,"11,4",11.4,3,3,170,170,5068,5068,5068,5068,Tr.,Tr.,"0,3",0.3,"0,44",0.44,20,20,"0,12",0.12,"0,73",0.73,"6,4",6.4,"0,24",0.24,"68,8",68.8,"5,9",5.9,"2,2",2.2,10,10,"1,4",1.4,"15,5",15.5,191,191,"5,8",5.8,"6,3",6.3,"2,6",2.6,"12,4",12.4,542,542,173,173,"0,12",0.12,"0,4",0.4,"41,6",41.6
60607,Fuet,Fuet,"0,97",0.97,438,438,"34,4",34.4,0,0,"19,3",19.3,"1,4",1.4,"1,3",1.3,"0,09",0.09,"0,09",0.09,0,0,"39,5",39.5,"14,1",14.1,"18,6",18.6,"4,7",4.7,"77,7",77.7,0,0,0,0,0,0,Tr.,Tr.,"0,27",0.27,10,10,"0,18",0.18,"0,19",0.19,"7,3",7.3,"0,16",0.16,"4,2",4.2,"2,6",2.6,"1,1",1.1,___,___,0,0,"15,7",15.7,242,242,1,1,"14,7",14.7,"1,8",1.8,"11,2",11.2,1482,1482,160,160,38,38,"0,08",0.08,"26,1",26.1
60608,Jamón cocido,cooked ham,1,1,213,213,"57,4",57.4,0,0,"19,1",19.1,"9,9",9.9,0,0,"9,9",9.9,"9,9",9.9,0,0,"10,8",10.8,"3,5",3.5,"4,3",4.3,"1,7",1.7,"60,4",60.4,0,0,0,0,0,0,Tr.,Tr.,"0,08",0.08,11,11,"0,46",0.46,"0,18",0.18,"6,8",6.8,"0,2",0.2,Tr.,Tr.,Tr.,Tr.,"0,58",0.58,___,___,0,0,"9,6",9.6,136,136,"2,1",2.1,"10,9",10.9,"2,8",2.8,"17,5",17.5,634,634,270,270,___,___,"0,24",0.24,___,___
60609,Jamón cocido enlatado,canned cooked ham,1,1,120,120,"72,9",72.9,0,0,"18,4",18.4,0,0,0,0,0,0,0,0,0,0,"5,1",5.1,"1,9",1.9,"2,1",2.1,"0,6",0.6,68,68,0,0,0,0,___,___,Tr.,Tr.,"0,08",0.08,11,11,"0,52",0.52,"0,25",0.25,"7,3",7.3,"0,22",0.22,Tr.,Tr.,Tr.,Tr.,"0,6",0.6,1,1,0,0,9,9,280,280,"1,2",1.2,11,11,"2,3",23,18,18,634,634,280,280,"0,02",0.02,"0,22",0.22,8,8
60610,Jamón ibérico,Iberian ham,1,1,375,375,"34,3",34.3,0,0,"43,2",43.2,"0,1",0.1,0,0,"0,1",0.1,"0,1",0.1,0,0,"22,4",22.4,"6,5",6.5,"13,2",13.2,"2,5",2.5,___,___,0,0,0,0,0,0,Tr.,Tr.,"0,08",0.08,11,11,"0,84",0.84,"0,2",0.2,___,___,"0,42",0.42,"13,5",13.5,"15,7",15.7,___,___,___,___,0,0,"27,1",27.1,158,158,"3,4",3.4,11,11,3,3,"1,6",1.6,1661,1661,153,153,___,___,"0,1",0.1,___,___
60611,Jamón serrano,Serrano ham,1,1,136,136,"69,5",69.5,0,0,"21,4",21.4,0,0,0,0,0,0,0,0,0,0,"5,6",5.6,"1,9",1.9,"2,7",2.7,"0,66",0.66,"70,9",70.9,0,0,0,0,0,0,Tr.,Tr.,"0,08",0.08,11,11,"0,57",0.57,"0,25",0.25,"6,7",6.7,"0,41",0.41,Tr.,Tr.,Tr.,Tr.,___,___,___,___,0,0,"12,7",12.7,223,223,"2,3",23,"11,4",11.4,"2,2",2.2,"17,1",17.1,1964,1964,250,250,___,___,"0,1",0.1,___,___
60612,Lomo embuchado,stuffed loin,"0,99",0.99,308,308,48,48,0,0,32,32,Tr.,Tr.,0,0,Tr.,Tr.,0,0,0,0,20,20,"7,5",7.5,"8,4",8.4,"1,4",1.4,172,172,Tr.,Tr.,Tr.,Tr.,Tr.,Tr.,Tr.,Tr.,"0,28",0.28,11,11,"0,67",0.67,"0,19",0.19,12,12,"0,16",0.16,"4,6",4.6,"3,8",3.8,___,___,___,___,0,0,"21,4",21.4,180,180,"4,1",4.1,"3,8",3.8,2,2,"21,3",21.3,1470,1470,230,230,___,___,___,___,___,___
60613,Longaniza,sausage,1,1,348,348,"47,5",47.5,0,0,25,25,0,0,0,0,0,0,0,0,0,0,"27,5",27.5,"11,3",11.3,"1,5",1.5,"4,7",4.7,"88,5",88.5,13,13,11,11,___,___,Tr.,Tr.,"0,29",0.29,6,6,"0,2",0.2,"0,15",0.15,"0,25",0.25,"0,14",0.14,"0,9",0.9,"0,9",0.9,"0,9",0.9,___,___,0,0,20,20,160,160,"1,6",1.6,"10,9",10.9,"1,2",1.2,200,200,70,70,200,200,"0,04",0.04,"0,08",0.08,"21,1",21.1
60614,Morcilla de arroz,Rice black pudding,"0,97",0.97,256,256,"55,1",55.1,0,0,"6,9",6.9,"16,7",16.7,"14,7",14.7,2,2,2,2,"1,3",1.3,"17,7",17.7,"8,1",8.1,"5,6",5.6,"0,9",0.9,"64,3",64.3,"4,1",4.1,"4,1",4.1,Tr.,Tr.,"0,17",0.17,"0,31",0.31,5,5,"0,05",0.05,"0,11",0.11,"4,5",4.5,"0,04",0.04,5,5,"0,5",0.5,"0,6",0.6,___,___,0,0,"27,6",27.6,22,22,"8,2",8.2,"4,9",4.9,"0,88",0.88,"14,6",14.6,680,680,150,150,11,11,"0,04",0.04,"11,8",11.8
60615,Mortadela,Mortadella,1,1,266,266,"60,5",60.5,0,0,"11,9",11.9,"1,3",1.3,"1,3",1.3,0,0,0,0,0,0,"23,7",23.7,"8,3",8.3,"9,9",9.9,"2,1",2.1,"73,9",73.9,0,0,0,0,0,0,Tr.,Tr.,"0,09",0.09,7,7,"0,16",0.16,"0,15",0.15,"4,3",4.3,"0,03",0.03,"2,2",2.2,"2,4",2.4,"0,36",0.36,___,___,0,0,"59,1",59.1,143,143,"0,83",0.83,"8,6",8.6,"3,1",3.1,11,11,766,766,207,207,"0,03",0.03,"0,06",0.06,"6,1",6.1
60616,Pechuga de pavo embutido,Sausage turkey breast,1,1,"81,5",81.5,"79,8",79.8,0,0,"15,2",15.2,"3,7",3.7,"3,2",3.2,"0,5",0.5,"0,5",0.5,0,0,"0,65",0.65,"0,18",0.18,"0,21",0.21,"0,15",0.15,___,___,0,0,0,0,0,0,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,683,683,___,___,___,___,___,___,___,___
60617,Salami,Salami,1,1,444,444,"33,3",33.3,0,0,21,21,"1,7",1.7,"1,7",1.7,Tr.,Tr.,0,0,"0,1",0.1,"39,2",39.2,"14,6",14.6,"17,6",17.6,"4,5",4.5,79,79,0,0,0,0,0,0,Tr.,Tr.,"0,78",0.78,9,9,"0,18",0.18,"0,2",0.2,"7,5",7.5,"0,15",0.15,3,3,"1,4",1.4,"0,8",0.8,3,3,0,0,10,10,167,167,1,1,15,15,"1,7",1.7,35,35,2084,2084,224,224,"0,07",0.07,"0,24",0.24,"6,9",6.9
60618,Salchicha fresca,Fresh sausage,1,1,309,309,"55,4",55.4,0,0,"13,1",13.1,"0,9",0.9,"0,51",0.51,"0,39",0.39,"0,39",0.39,0,0,"28,1",28.1,"10,5",10.5,"12,3",12.3,"2,6",2.6,67,67,0,0,0,0,0,0,0,0,0,0,9,9,"0,18",0.18,"0,16",0.16,"4,6",4.6,"0,16",0.16,"3,4",3.4,"1,5",1.5,"0,4",0.4,___,___,0,0,"34,5",34.5,150,150,"1,4",1.4,"1,8",1.8,"2,6",2.6,"9,4",9.4,1060,1060,210,210,28,28,"0,07",0.07,"11,5",11.5
60619,Salchicha tipo Frankfurt,Frankfurt sausage,1,1,243,243,"62,3",62.3,0,0,"13,1",13.1,"1,4",1.4,"0,75",0.75,"0,64",0.64,"0,64",0.64,0,0,"20,5",20.5,"7,4",7.4,"8,2",8.2,"1,9",1.9,"93,4",93.4,"9,6",9.6,"9,6",9.6,Tr.,Tr.,"0,27",0.27,"0,23",0.23,9,9,"0,2",0.2,"0,2",0.2,"4,1",4.1,"0,19",0.19,"1,5",1.5,"1,1",1.1,"0,43",0.43,___,___,Tr.,Tr.,"57,4",57.4,107,107,"1,3",1.3,"6,9",6.9,"1,3",1.3,"12,9",12.9,696,696,154,154,"0,03",0.03,"0,32",0.32,"8,3",8.3
60620,Salchichón,Sausage,"0,97",0.97,438,438,"34,4",34.4,0,0,"19,3",19.3,"1,4",1.4,"1,3",1.3,"0,09",0.09,"0,09",0.09,0,0,"39,5",39.5,"14,1",14.1,"18,6",18.6,"4,7",4.7,"77,7",77.7,0,0,0,0,0,0,Tr.,Tr.,"0,27",0.27,10,10,"0,18",0.18,"0,19",0.19,"7,3",7.3,"0,16",0.16,"4,2",4.2,"2,6",2.6,"1,1",1.1,___,___,0,0,"15,7",15.7,242,242,1,1,"14,7",14.7,"1,8",1.8,"11,2",11.2,1174,1174,160,160,38,38,"0,08",0.08,"26,1",26.1
60621,Sobrasada,Sobrasada,1,1,595,595,"26,7",26.7,0,0,13,13,0,0,0,0,0,0,0,0,0,0,"60,3",60.3,"20,3",20.3,"28,4",28.4,"8,8",8.8,72,72,0,0,0,0,0,0,Tr.,Tr.,"0,57",0.57,6,6,"0,6",0.6,"0,27",0.27,"11,5",11.5,"0,16",0.16,2,2,"0,87",0.87,"0,9",0.9,___,___,Tr.,Tr.,15,15,310,310,"1,9",1.9,11,11,"1,5",1.5,25,25,914,914,259,259,"0,04",0.04,"0,08",0.08,"21,1",21.1
60701,Cabrito,Kid,"0,75",0.75,122,122,"75,8",75.8,0,0,"19,2",19.2,0,0,0,0,0,0,0,0,0,0,5,5,"1,5",1.5,"2,2",2.2,"0,39",0.39,56,56,0,0,0,0,0,0,"0,4",0.4,"0,09",0.09,15,15,"0,25",0.25,"0,1",0.1,"5,7",5.7,"0,3",0.3,5,5,2,2,"0,6",0.6,___,___,0,0,9,9,220,220,1,1,5,5,2,2,22,22,82,82,385,385,"0,02",0.02,"0,14",0.14,1,1
60702,Carne de caballo,Horsemeat,1,1,108,108,"76,3",76.3,0,0,"20,6",20.6,"0,4",0.4,"0,4",0.4,0,0,0,0,0,0,"2,7",2.7,"0,96",0.96,"1,1",1.1,"0,57",0.57,54,54,21,21,21,21,Tr.,Tr.,0,0,"0,67",0.67,7,7,"0,11",0.11,"0,15",0.15,"6,6",6.6,"0,5",0.5,6,6,3,3,"0,33",0.33,___,___,Tr.,Tr.,"9,2",9.2,216,216,"4,8",4.8,5,5,"4,9",4.9,26,26,44,44,377,377,24,24,"0,21",0.21,3,3
60703,Carne de conejo grasa,fatty rabbit meat,"0,68",0.68,204,204,"66,2",66.2,0,0,"18,1",18.1,"0,4",0.4,0,0,"0,4",0.4,0,0,0,0,"14,4",14.4,"5,7",5.7,"2,9",2.9,"4,4",4.4,65,65,"0,34",0.34,"0,34",0.34,0,0,Tr.,Tr.,"0,4",0.4,4,4,0,0,"0,09",0.09,3,3,"0,59",0.59,6,6,"11,6",11.6,"0,95",0.95,"1,2",1.2,Tr.,Tr.,"22,8",22.8,216,216,"1,5",1.5,"1,8",1.8,"1,4",1.4,"24,9",24.9,78,78,350,350,38,38,"0,15",0.15,10,10
60704,"Carne de conejo, grasa y magra","Rabbit meat, fat and lean","0,68",0.68,138,138,"70,9",70.9,0,0,"22,1",22.1,"0,5",0.5,0,0,0,0,0,0,0,0,"5,3",5.3,"2,1",2.1,"1,1",1.1,"1,6",1.6,65,65,0,0,0,0,0,0,Tr.,Tr.,"0,16",0.16,4,4,"0,17",0.17,"0,11",0.11,"3,7",3.7,"0,5",0.5,5,5,10,10,"0,8",0.8,1,1,Tr.,Tr.,17,17,180,180,"1,3",1.3,5,5,"4,5",4.5,26,26,67,67,360,360,"0,01",0.01,"0,07",0.07,20,20
60705,Carne de jabalí,wild boar meat,1,1,162,162,"71,2",71.2,0,0,"19,5",19.5,0,0,0,0,0,0,0,0,0,0,"9,3",9.3,"3,3",3.3,"4,5",4.5,"0,72",0.72,63,63,0,0,0,0,___,___,"0,2",0.2,"0,01",0.01,5,5,"0,39",0.39,"0,11",0.11,"12,9",12.9,"0,5",0.5,4,4,12,12,"1,1",1.1,___,___,0,0,"9,9",9.9,167,167,"1,8",1.8,2,2,"2,3",23,22,22,94,94,359,359,"0,03",0.03,"0,11",0.11,14,14
60706,Conejo,Rabbit,"0,62",0.62,"88,4",88.4,"74,9",74.9,0,0,"10,4",10.4,0,0,0,0,0,0,0,0,0,0,"5,2",5.2,"1,8",1.8,"1,4",1.4,"1,5",1.5,52,52,0,0,0,0,0,0,0,0,"0,09",0.09,4,4,"0,03",0.03,"0,3",0.3,"6,3",6.3,"0,44",0.44,4,4,"8,8",8.8,"0,7",0.7,"0,9",0.9,0,0,22,22,220,220,1,1,5,5,"3,9",3.9,22,22,67,67,360,360,"0,01",0.01,"0,06",0.06,17,17
60707,Liebre,Hare,"0,8",0.8,113,113,"75,4",75.4,0,0,"21,6",21.6,0,0,0,0,0,0,0,0,0,0,3,3,"0,9",0.9,"0,82",0.82,"0,58",0.58,65,65,0,0,0,0,0,0,Tr.,Tr.,"0,27",0.27,6,6,"0,09",0.09,"0,06",0.06,"10,5",10.5,"0,3",0.3,5,5,1,1,"0,8",0.8,Tr.,Tr.,0,0,14,14,210,210,"2,8",2.8,2,2,"2,2",2.2,24,24,44,44,276,276,"0,04",0.04,"0,22",0.22,17,17
60708,Lomo de conejo,rabbit loin,"0,68",0.68,102,102,"75,3",75.3,0,0,"23,7",23.7,"0,6",0.6,0,0,"0,6",0.6,0,0,0,0,"0,6",0.6,"0,24",0.24,"0,12",0.12,"0,18",0.18,65,65,0,0,0,0,0,0,0,0,"0,01",0.01,4,4,"0,19",0.19,"0,12",0.12,4,4,"0,43",0.43,4,4,"8,7",8.7,"0,69",0.69,"0,9",0.9,0,0,17,17,180,180,"1,3",1.3,5,5,"3,9",3.9,22,22,57,57,306,306,"0,01",0.01,"0,06",0.06,"17,4",17.4
60709,Pierna de conejo,rabbit leg,"0,83",0.83,137,137,72,72,0,0,21,21,0,0,0,0,0,0,0,0,0,0,"5,9",5.9,"2,3",23,"1,2",1.2,"1,8",1.8,52,52,0,0,0,0,0,0,Tr.,Tr.,"0,13",0.13,4,4,"0,03",0.03,"0,3",0.3,"6,3",6.3,"0,5",0.5,5,5,10,10,"0,8",0.8,1,1,Tr.,Tr.,"22,8",22.8,216,216,1,1,5,5,"3,9",3.9,22,22,67,67,360,360,38,38,"0,06",0.06,17,17
60710,Venado magro deshuesado,boneless lean venison,1,1,103,103,"76,2",76.2,0,0,"22,2",22.2,0,0,0,0,0,0,0,0,0,0,"1,6",1.6,"0,8",0.8,"0,4",0.4,"0,4",0.4,50,50,0,0,0,0,0,0,___,___,"0,2",0.2,___,___,"0,22",0.22,"0,48",0.48,"6,4",6.4,___,___,___,___,"6,3",6.3,___,___,___,___,0,0,5,5,210,210,"3,3",3.3,___,___,"2,4",2.4,25,25,55,55,340,340,___,___,___,___,"9,7",9.7
70101,Abadejo,Pout,"0,56",0.56,74,74,"82,5",82.5,0,0,"16,7",16.7,0,0,0,0,0,0,0,0,0,0,"0,8",0.8,"0,14",0.14,88,88,"0,27",0.27,71,71,14,14,14,14,___,___,Tr.,Tr.,"0,5",0.5,"0,01",0.01,"0,17",0.17,"0,17",0.17,"4,4",4.4,"0,22",0.22,"3,1",3.1,"1,2",1.2,"0,18",0.18,___,___,0,0,8,8,376,376,"0,2",0.2,103,103,"0,43",0.43,23,23,100,100,338,338,"0,03",0.03,35,35,20,20
70102,Bacaladilla,Blue whiting,"0,64",0.64,"84,4",84.4,"80,9",80.9,0,0,"17,5",17.5,0,0,0,0,0,0,0,0,0,0,"1,6",1.6,"0,4",0.4,"0,4",0.4,"0,3",0.3,110,110,"4,2",4.2,"4,2",4.2,0,0,"0,1",0.1,"0,56",0.56,"0,02",0.02,"0,15",0.15,"0,03",0.03,"4,9",4.9,"0,05",0.05,15,15,"2,8",2.8,"0,26",0.26,___,___,0,0,"82,1",82.1,218,218,"0,31",0.31,"2,9",2.9,"0,49",0.49,"20,4",20.4,72,72,356,356,"0,02",0.02,"0,01",0.01,28,28
70103,Bacalao fresco,fresh cod,"0,89",0.89,"79,8",79.8,"81,3",81.3,0,0,"17,7",17.7,0,0,0,0,0,0,0,0,0,0,1,1,"0,13",0.13,"0,1",0.1,"0,39",0.39,34,34,"6,5",6.5,"6,5",6.5,0,0,"1,3",1.3,1,1,"0,01",0.01,55,55,46,46,"5,2",5.2,"0,2",0.2,8,8,"1,2",1.2,"0,26",0.26,"2,2",2.2,2,2,26,26,194,194,"0,32",0.32,170,170,"0,4",0.4,24,24,72,72,352,352,17,17,53,53,28,28
70104,Besugo,Sea bream,"0,55",0.55,"88,6",88.6,"80,1",80.1,0,0,"18,1",18.1,0,0,0,0,0,0,0,0,0,0,"1,8",1.8,"0,4",0.4,"0,6",0.6,"0,3",0.3,"56,5",56.5,9,9,9,9,0,0,"0,19",0.19,"1,5",1.5,"0,04",0.04,"0,06",0.06,"0,06",0.06,"2,9",2.9,"0,05",0.05,"10,4",10.4,"2,9",2.9,"0,15",0.15,___,___,0,0,"40,7",40.7,210,210,"0,8",0.8,"7,1",7.1,"0,44",0.44,"25,2",25.2,20,20,310,310,91,91,38,38,45,45
70105,Breca,Bleak,"0,55",0.55,"74,6",74.6,"82,6",82.6,0,0,"15,4",15.4,1,1,0,0,1,1,0,0,0,0,1,1,"0,25",0.25,"0,18",0.18,"0,27",0.27,48,48,9,9,9,9,0,0,"0,19",0.19,"1,5",1.5,"0,04",0.04,"0,06",0.06,"0,08",0.08,5,5,"0,05",0.05,"10,4",10.4,"2,9",2.9,"0,15",0.15,___,___,0,0,30,30,210,210,"0,8",0.8,7,7,"0,5",0.5,25,25,141,141,316,316,"0,09",0.09,"0,04",0.04,45,45
70106,Cabracho,scorpion,"0,5",0.5,"91,3",91.3,"79,3",79.3,0,0,19,19,0,0,0,0,0,0,0,0,0,0,"1,7",1.7,"0,4",0.4,"0,3",0.3,"0,5",0.5,35,35,57,57,57,57,0,0,0,0,0,0,"0,01",0.01,"0,04",0.04,"0,07",0.07,"3,3",3.3,"0,01",0.01,3,3,"3,8",3.8,"0,15",0.15,___,___,0,0,9,9,178,178,"0,4",0.4,3,3,"0,1",0.1,26,26,60,60,405,405,"0,02",0.02,"0,01",0.01,20,20
70107,Cazón,Dogfish,"0,8",0.8,"82,9",82.9,"78,5",78.5,0,0,"18,7",18.7,0,0,0,0,0,0,0,0,0,0,"0,9",0.9,"0,2",0.2,"0,2",0.2,"0,3",0.3,51,51,70,70,70,70,0,0,0,0,0,0,___,___,"0,04",0.04,"0,62",0.62,"2,9",2.9,0,0,0,0,"1,5",1.5,___,___,___,___,0,0,34,34,210,210,"0,8",0.8,0,0,"0,4",0.4,15,15,79,79,160,160,___,___,___,___,___,___
70108,Dorada,Golden,"0,55",0.55,230,230,"63,7",63.7,0,0,"18,1",18.1,"1,3",1.3,0,0,"1,3",1.3,0,0,0,0,"16,9",16.9,"3,4",3.4,"4,3",4.3,"3,1",3.1,"93,7",93.7,"83,4",83.4,"83,4",83.4,0,0,"1,5",1.5,"15,8",15.8,"0,04",0.04,"0,04",0.04,"0,11",0.11,"6,9",6.9,"0,28",0.28,"13,4",13.4,"2,3",23,"0,15",0.15,___,___,0,0,"40,5",40.5,244,244,"0,13",0.13,3,3,"0,51",0.51,"23,7",23.7,31,31,446,446,91,91,38,38,45,45
70109,Gallo,Rooster,"0,56",0.56,"81,5",81.5,82,82,0,0,"16,1",16.1,0,0,0,0,0,0,0,0,0,0,"1,9",1.9,"0,33",0.33,"0,39",0.39,"0,61",0.61,"60,2",60.2,0,0,0,0,0,0,Tr.,Tr.,Tr.,Tr.,"0,01",0.01,"0,08",0.08,"0,1",0.1,"6,3",6.3,"0,38",0.38,"11,2",11.2,"1,1",1.1,"0,5",0.5,___,___,0,0,"33,6",33.6,230,230,"0,96",0.96,"16,1",16.1,"0,4",0.4,"42,1",42.1,150,150,151,151,"0,02",0.02,"0,04",0.04,24,24
70110,Lenguado,Sole,"0,7",0.7,"83,7",83.7,"80,7",80.7,0,0,"17,5",17.5,"0,5",0.5,0,0,"0,5",0.5,0,0,0,0,"1,3",1.3,"0,2",0.2,"0,3",0.3,"0,5",0.5,"56,6",56.6,Tr.,Tr.,Tr.,Tr.,0,0,Tr.,Tr.,"1,1",1.1,"0,2",0.2,"0,08",0.08,"0,09",0.09,"6,3",6.3,"0,6",0.6,"9,3",9.3,"0,95",0.95,"0,5",0.5,5,5,0,0,"33,4",33.4,195,195,"0,55",0.55,"16,1",16.1,"0,48",0.48,"28,3",28.3,100,100,309,309,17,17,39,39,24,24
70111,Lubina,Sea bass,"0,84",0.84,"97,9",97.9,"78,4",78.4,0,0,"19,3",19.3,0,0,0,0,0,0,0,0,0,0,"2,3",23,"0,41",0.41,"0,61",0.61,"0,6",0.6,80,80,27,27,27,27,___,___,Tr.,Tr.,"0,5",0.5,"0,02",0.02,"0,06",0.06,"0,06",0.06,"3,7",3.7,"0,2",0.2,3,3,4,4,"0,75",0.75,___,___,0,0,130,130,410,410,"2,2",2.2,7,7,"0,3",0.3,25,25,69,69,340,340,15,15,19,19,"36,5",36.5
70112,Merluza,Hake,"0,85",0.85,"63,8",63.8,"86,3",86.3,0,0,"11,9",11.9,0,0,0,0,0,0,0,0,0,0,"1,8",1.8,"0,35",0.35,"0,43",0.43,"0,46",0.46,67,67,17,17,17,17,___,___,Tr.,Tr.,"0,35",0.35,"0,02",0.02,"0,09",0.09,"0,09",0.09,"8,5",8.5,"0,16",0.16,"12,3",12.3,"1,1",1.1,"0,22",0.22,___,___,0,0,"33,1",33.1,142,142,"1,1",1.1,27,27,"0,37",0.37,"25,1",25.1,101,101,294,294,"0,02",0.02,21,21,36,36
70113,Mero,Mere,"0,57",0.57,"70,3",70.3,"83,3",83.3,0,0,16,16,0,0,0,0,0,0,0,0,0,0,"0,7",0.7,"0,16",0.16,"0,14",0.14,"0,23",0.23,37,37,43,43,43,43,0,0,Tr.,Tr.,"0,8",0.8,"0,02",0.02,"0,8",0.8,"0,14",0.14,"3,3",3.3,"0,32",0.32,11,11,2,2,"0,75",0.75,___,___,0,0,14,14,210,210,"0,9",0.9,7,7,"0,5",0.5,20,20,80,80,255,255,"0,02",0.02,"0,02",0.02,"36,5",36.5
70114,Mújol,Mullet,"0,49",0.49,124,124,"74,5",74.5,0,0,"20,4",20.4,"0,8",0.8,0,0,"0,8",0.8,0,0,0,0,"4,3",4.3,"1,3",1.3,"0,94",0.94,"0,81",0.81,81,81,37,37,37,37,0,0,Tr.,Tr.,1,1,"0,01",0.01,"0,06",0.06,"0,15",0.15,"5,7",5.7,"0,43",0.43,9,9,2,2,"0,22",0.22,___,___,0,0,53,53,217,217,"1,5",1.5,330,330,"0,6",0.6,29,29,69,69,404,404,"0,05",0.05,75,75,51,51
70115,Panga,panga,1,1,"65,6",65.6,"83,8",83.8,0,0,"13,4",13.4,"0,3",0.3,0,0,"0,3",0.3,0,0,0,0,"1,2",1.2,"0,47",0.47,"0,44",0.44,"0,17",0.17,"29,8",29.8,2,2,___,___,___,___,"0,05",0.05,"0,16",0.16,___,___,"0,04",0.04,"0,04",0.04,"0,35",0.35,"0,1",0.1,___,___,"0,3",0.3,___,___,___,___,0,0,"36,7",36.7,107,107,"0,21",0.21,8,8,"0,24",0.24,"17,6",17.6,274,274,200,200,___,___,___,___,"9,6",9.6
