,Area,Item,Unit,Value,Sentence
179859,Spain,Number of obese adults (18 years and older) (million),million No,6.2,In Spain the Number of obese adults (18 years and older) (million) is 6.2 million No
179879,Spain,Prevalence of anemia among women of reproductive age (15-49 years) (percent),%,13.4,In Spain the Prevalence of anemia among women of reproductive age (15-49 years) (percent) is 13.4 %
179922,Spain,Prevalence of exclusive breastfeeding among infants 0-5 months of age (percent),%,,In Spain the Prevalence of exclusive breastfeeding among infants 0-5 months of age (percent) is nan %
179943,Spain,Prevalence of low birthweight (percent),%,9.6,In Spain the Prevalence of low birthweight (percent) is 9.6 %
179988,Spain,Minimum dietary energy requirement  (kcal/cap/day),kcal/cap/d,1935,In Spain the Minimum dietary energy requirement  (kcal/cap/day) is 1935 kcal/cap/d
180012,Spain,Average dietary energy requirement (kcal/cap/day),kcal/cap/d,2512,In Spain the Average dietary energy requirement (kcal/cap/day) is 2512 kcal/cap/d
180036,Spain,Coefficient of variation of habitual caloric consumption distribution (real number),No,0.21,In Spain the Coefficient of variation of habitual caloric consumption distribution (real number) is 0.21 No
180060,Spain,Incidence of caloric losses at retail distribution level (percent),%,2.1,In Spain the Incidence of caloric losses at retail distribution level (percent) is 2.1 %
180075,Spain,Average fat supply (g/cap/day) (3-year average),g/cap/d,155.4,In Spain the Average fat supply (g/cap/day) (3-year average) is 155.4 g/cap/d
180097,Sri Lanka,Average dietary energy supply adequacy (percent) (3-year average),%,121,In Sri Lanka the Average dietary energy supply adequacy (percent) (3-year average) is 121 %
180121,Sri Lanka,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),kcal/cap/d,2770,In Sri Lanka the Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) is 2770 kcal/cap/d
180143,Sri Lanka,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average),kcal/cap/d,2810,In Sri Lanka the Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average) is 2810 kcal/cap/d
180164,Sri Lanka,"Share of dietary energy supply derived from cereals, roots and tubers (percent) (3-year average)",%,59,"In Sri Lanka the Share of dietary energy supply derived from cereals, roots and tubers (percent) (3-year average) is 59 %"
180185,Sri Lanka,Average protein supply (g/cap/day) (3-year average),g/cap/d,72.8,In Sri Lanka the Average protein supply (g/cap/day) (3-year average) is 72.8 g/cap/d
180206,Sri Lanka,Average supply of protein of animal origin (g/cap/day) (3-year average),g/cap/d,19.1,In Sri Lanka the Average supply of protein of animal origin (g/cap/day) (3-year average) is 19.1 g/cap/d
180215,Sri Lanka,Rail lines density (total route in km per 100 square km of land area),km,2.4,In Sri Lanka the Rail lines density (total route in km per 100 square km of land area) is 2.4 km
180238,Sri Lanka,"Gross domestic product per capita, PPP, (constant 2017 international $)",Int$/cap,13172.1,"In Sri Lanka the Gross domestic product per capita, PPP, (constant 2017 international $) is 13172.1 Int$/cap"
180260,Sri Lanka,Prevalence of undernourishment (percent) (3-year average),%,4.1,In Sri Lanka the Prevalence of undernourishment (percent) (3-year average) is 4.1 %
180314,Sri Lanka,Prevalence of severe food insecurity in the male adult population (percent) (3-year average),%,1.2,In Sri Lanka the Prevalence of severe food insecurity in the male adult population (percent) (3-year average) is 1.2 %
180322,Sri Lanka,Prevalence of severe food insecurity in the male adult population (percent) (3-year average),%,1.1,In Sri Lanka the Prevalence of severe food insecurity in the male adult population (percent) (3-year average) is 1.1 %
180330,Sri Lanka,Prevalence of severe food insecurity in the male adult population (percent) (3-year average),%,1.3,In Sri Lanka the Prevalence of severe food insecurity in the male adult population (percent) (3-year average) is 1.3 %
180338,Sri Lanka,Prevalence of severe food insecurity in the female adult population (percent) (3-year average),%,1.2,In Sri Lanka the Prevalence of severe food insecurity in the female adult population (percent) (3-year average) is 1.2 %
180346,Sri Lanka,Prevalence of severe food insecurity in the female adult population (percent) (3-year average),%,1.1,In Sri Lanka the Prevalence of severe food insecurity in the female adult population (percent) (3-year average) is 1.1 %
180354,Sri Lanka,Prevalence of severe food insecurity in the female adult population (percent) (3-year average),%,1.3,In Sri Lanka the Prevalence of severe food insecurity in the female adult population (percent) (3-year average) is 1.3 %
180386,Sri Lanka,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),%,11.7,In Sri Lanka the Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average) is 11.7 %
180394,Sri Lanka,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),%,11.4,In Sri Lanka the Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average) is 11.4 %
180402,Sri Lanka,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),%,12.1,In Sri Lanka the Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average) is 12.1 %
180410,Sri Lanka,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),%,11.1,In Sri Lanka the Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average) is 11.1 %
180418,Sri Lanka,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),%,10.8,In Sri Lanka the Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average) is 10.8 %
180426,Sri Lanka,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),%,11.5,In Sri Lanka the Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average) is 11.5 %
180591,Sri Lanka,Cereal import dependency ratio (percent) (3-year average),%,25.6,In Sri Lanka the Cereal import dependency ratio (percent) (3-year average) is 25.6 %
180612,Sri Lanka,Percent of arable land equipped for irrigation (percent) (3-year average),%,10.3,In Sri Lanka the Percent of arable land equipped for irrigation (percent) (3-year average) is 10.3 %
180633,Sri Lanka,Value of food imports in total merchandise exports (percent) (3-year average),%,18,In Sri Lanka the Value of food imports in total merchandise exports (percent) (3-year average) is 18 %
180655,Sri Lanka,Political stability and absence of violence/terrorism (index),,-0.79,
180679,Sri Lanka,Per capita food supply variability (kcal/cap/day),kcal/cap/d,36,In Sri Lanka the Per capita food supply variability (kcal/cap/day) is 36 kcal/cap/d
180702,Sri Lanka,Percentage of population using safely managed drinking water services (percent),%,47,In Sri Lanka the Percentage of population using safely managed drinking water services (percent) is 47 %
180725,Sri Lanka,Percentage of population using at least basic drinking water services (percent),%,89,In Sri Lanka the Percentage of population using at least basic drinking water services (percent) is 89 %
180748,Sri Lanka,Percentage of population using at least basic sanitation services (percent),%,95,In Sri Lanka the Percentage of population using at least basic sanitation services (percent) is 95 %
180771,Sri Lanka,Percentage of children under 5 years affected by wasting (percent),%,,In Sri Lanka the Percentage of children under 5 years affected by wasting (percent) is nan %
180818,Sri Lanka,Percentage of children under 5 years of age who are stunted (modelled estimates) (percent),%,15.9,In Sri Lanka the Percentage of children under 5 years of age who are stunted (modelled estimates) (percent) is 15.9 %
180864,Sri Lanka,Percentage of children under 5 years of age who are overweight (modelled estimates) (percent),%,1.3,In Sri Lanka the Percentage of children under 5 years of age who are overweight (modelled estimates) (percent) is 1.3 %
180910,Sri Lanka,Prevalence of obesity in the adult population (18 years and older) (percent),%,10.6,In Sri Lanka the Prevalence of obesity in the adult population (18 years and older) (percent) is 10.6 %
180933,Sri Lanka,Number of obese adults (18 years and older) (million),million No,1.7,In Sri Lanka the Number of obese adults (18 years and older) (million) is 1.7 million No
180953,Sri Lanka,Prevalence of anemia among women of reproductive age (15-49 years) (percent),%,34.6,In Sri Lanka the Prevalence of anemia among women of reproductive age (15-49 years) (percent) is 34.6 %
180996,Sri Lanka,Prevalence of exclusive breastfeeding among infants 0-5 months of age (percent),%,,In Sri Lanka the Prevalence of exclusive breastfeeding among infants 0-5 months of age (percent) is nan %
181017,Sri Lanka,Prevalence of low birthweight (percent),%,18,In Sri Lanka the Prevalence of low birthweight (percent) is 18 %
181062,Sri Lanka,Minimum dietary energy requirement  (kcal/cap/day),kcal/cap/d,1795,In Sri Lanka the Minimum dietary energy requirement  (kcal/cap/day) is 1795 kcal/cap/d
181086,Sri Lanka,Average dietary energy requirement (kcal/cap/day),kcal/cap/d,2319,In Sri Lanka the Average dietary energy requirement (kcal/cap/day) is 2319 kcal/cap/d
181110,Sri Lanka,Coefficient of variation of habitual caloric consumption distribution (real number),No,0.23,In Sri Lanka the Coefficient of variation of habitual caloric consumption distribution (real number) is 0.23 No
181134,Sri Lanka,Incidence of caloric losses at retail distribution level (percent),%,2.88,In Sri Lanka the Incidence of caloric losses at retail distribution level (percent) is 2.88 %
181155,Sri Lanka,Average fat supply (g/cap/day) (3-year average),g/cap/d,46.4,In Sri Lanka the Average fat supply (g/cap/day) (3-year average) is 46.4 g/cap/d
181177,Sudan,Average dietary energy supply adequacy (percent) (3-year average),%,118,In Sudan the Average dietary energy supply adequacy (percent) (3-year average) is 118 %
181201,Sudan,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),kcal/cap/d,2613,In Sudan the Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) is 2613 kcal/cap/d
181223,Sudan,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average),kcal/cap/d,2629,In Sudan the Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average) is 2629 kcal/cap/d
181233,Sudan,"Share of dietary energy supply derived from cereals, roots and tubers (percent) (3-year average)",%,49,"In Sudan the Share of dietary energy supply derived from cereals, roots and tubers (percent) (3-year average) is 49 %"
181243,Sudan,Average protein supply (g/cap/day) (3-year average),g/cap/d,73.6,In Sudan the Average protein supply (g/cap/day) (3-year average) is 73.6 g/cap/d
181253,Sudan,Average supply of protein of animal origin (g/cap/day) (3-year average),g/cap/d,20.1,In Sudan the Average supply of protein of animal origin (g/cap/day) (3-year average) is 20.1 g/cap/d
181269,Sudan,Rail lines density (total route in km per 100 square km of land area),km,0.1,In Sudan the Rail lines density (total route in km per 100 square km of land area) is 0.1 km
181292,Sudan,"Gross domestic product per capita, PPP, (constant 2017 international $)",Int$/cap,3299.9,"In Sudan the Gross domestic product per capita, PPP, (constant 2017 international $) is 3299.9 Int$/cap"
181314,Sudan,Prevalence of undernourishment (percent) (3-year average),%,11.4,In Sudan the Prevalence of undernourishment (percent) (3-year average) is 11.4 %
181368,Sudan,Prevalence of severe food insecurity in the male adult population (percent) (3-year average),%,,In Sudan the Prevalence of severe food insecurity in the male adult population (percent) (3-year average) is nan %
181376,Sudan,Prevalence of severe food insecurity in the male adult population (percent) (3-year average),%,,In Sudan the Prevalence of severe food insecurity in the male adult population (percent) (3-year average) is nan %
181384,Sudan,Prevalence of severe food insecurity in the male adult population (percent) (3-year average),%,,In Sudan the Prevalence of severe food insecurity in the male adult population (percent) (3-year average) is nan %
181392,Sudan,Prevalence of severe food insecurity in the female adult population (percent) (3-year average),%,,In Sudan the Prevalence of severe food insecurity in the female adult population (percent) (3-year average) is nan %
181400,Sudan,Prevalence of severe food insecurity in the female adult population (percent) (3-year average),%,,In Sudan the Prevalence of severe food insecurity in the female adult population (percent) (3-year average) is nan %
181408,Sudan,Prevalence of severe food insecurity in the female adult population (percent) (3-year average),%,,In Sudan the Prevalence of severe food insecurity in the female adult population (percent) (3-year average) is nan %
181440,Sudan,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),%,,In Sudan the Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average) is nan %
181448,Sudan,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),%,,In Sudan the Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average) is nan %
181456,Sudan,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),%,,In Sudan the Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average) is nan %
181464,Sudan,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),%,,In Sudan the Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average) is nan %
181472,Sudan,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),%,,In Sudan the Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average) is nan %
181480,Sudan,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),%,,In Sudan the Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average) is nan %
181634,Sudan,Cereal import dependency ratio (percent) (3-year average),%,28.2,In Sudan the Cereal import dependency ratio (percent) (3-year average) is 28.2 %
181655,Sudan,Percent of arable land equipped for irrigation (percent) (3-year average),%,1,In Sudan the Percent of arable land equipped for irrigation (percent) (3-year average) is 1 %
181665,Sudan,Value of food imports in total merchandise exports (percent) (3-year average),%,63,In Sudan the Value of food imports in total merchandise exports (percent) (3-year average) is 63 %
181687,Sudan,Political stability and absence of violence/terrorism (index),,-2,
181706,Sudan,Per capita food supply variability (kcal/cap/day),kcal/cap/d,39,In Sudan the Per capita food supply variability (kcal/cap/day) is 39 kcal/cap/d
181729,Sudan,Percentage of population using at least basic drinking water services (percent),%,65,In Sudan the Percentage of population using at least basic drinking water services (percent) is 65 %
181750,Sudan,Percentage of population using at least basic sanitation services (percent),%,37,In Sudan the Percentage of population using at least basic sanitation services (percent) is 37 %
181773,Sudan,Percentage of children under 5 years affected by wasting (percent),%,,In Sudan the Percentage of children under 5 years affected by wasting (percent) is nan %
181820,Sudan,Percentage of children under 5 years of age who are stunted (modelled estimates) (percent),%,36,In Sudan the Percentage of children under 5 years of age who are stunted (modelled estimates) (percent) is 36 %
181866,Sudan,Percentage of children under 5 years of age who are overweight (modelled estimates) (percent),%,2.7,In Sudan the Percentage of children under 5 years of age who are overweight (modelled estimates) (percent) is 2.7 %
181912,Sudan,Prevalence of obesity in the adult population (18 years and older) (percent),%,17,In Sudan the Prevalence of obesity in the adult population (18 years and older) (percent) is 17 %
181935,Sudan,Number of obese adults (18 years and older) (million),million No,4.2,In Sudan the Number of obese adults (18 years and older) (million) is 4.2 million No
181955,Sudan,Prevalence of anemia among women of reproductive age (15-49 years) (percent),%,36.5,In Sudan the Prevalence of anemia among women of reproductive age (15-49 years) (percent) is 36.5 %
181998,Sudan,Prevalence of exclusive breastfeeding among infants 0-5 months of age (percent),%,,In Sudan the Prevalence of exclusive breastfeeding among infants 0-5 months of age (percent) is nan %
182019,Sudan,Prevalence of low birthweight (percent),%,,In Sudan the Prevalence of low birthweight (percent) is nan %
182064,Sudan,Minimum dietary energy requirement  (kcal/cap/day),kcal/cap/d,1727,In Sudan the Minimum dietary energy requirement  (kcal/cap/day) is 1727 kcal/cap/d
182088,Sudan,Average dietary energy requirement (kcal/cap/day),kcal/cap/d,2223,In Sudan the Average dietary energy requirement (kcal/cap/day) is 2223 kcal/cap/d
182112,Sudan,Coefficient of variation of habitual caloric consumption distribution (real number),No,0.3,In Sudan the Coefficient of variation of habitual caloric consumption distribution (real number) is 0.3 No
182136,Sudan,Incidence of caloric losses at retail distribution level (percent),%,3.01,In Sudan the Incidence of caloric losses at retail distribution level (percent) is 3.01 %
182146,Sudan,Average fat supply (g/cap/day) (3-year average),g/cap/d,71.6,In Sudan the Average fat supply (g/cap/day) (3-year average) is 71.6 g/cap/d
182168,Suriname,Average dietary energy supply adequacy (percent) (3-year average),%,110,In Suriname the Average dietary energy supply adequacy (percent) (3-year average) is 110 %
182192,Suriname,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),kcal/cap/d,2625,In Suriname the Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) is 2625 kcal/cap/d
182214,Suriname,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average),kcal/cap/d,2630,In Suriname the Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average) is 2630 kcal/cap/d
182235,Suriname,"Share of dietary energy supply derived from cereals, roots and tubers (percent) (3-year average)",%,42,"In Suriname the Share of dietary energy supply derived from cereals, roots and tubers (percent) (3-year average) is 42 %"
182256,Suriname,Average protein supply (g/cap/day) (3-year average),g/cap/d,74.7,In Suriname the Average protein supply (g/cap/day) (3-year average) is 74.7 g/cap/d
182277,Suriname,Average supply of protein of animal origin (g/cap/day) (3-year average),g/cap/d,37.8,In Suriname the Average supply of protein of animal origin (g/cap/day) (3-year average) is 37.8 g/cap/d
182300,Suriname,"Gross domestic product per capita, PPP, (constant 2017 international $)",Int$/cap,18741.7,"In Suriname the Gross domestic product per capita, PPP, (constant 2017 international $) is 18741.7 Int$/cap"
182322,Suriname,Prevalence of undernourishment (percent) (3-year average),%,10.1,In Suriname the Prevalence of undernourishment (percent) (3-year average) is 10.1 %
182376,Suriname,Prevalence of severe food insecurity in the male adult population (percent) (3-year average),%,6.2,In Suriname the Prevalence of severe food insecurity in the male adult population (percent) (3-year average) is 6.2 %
182384,Suriname,Prevalence of severe food insecurity in the male adult population (percent) (3-year average),%,4,In Suriname the Prevalence of severe food insecurity in the male adult population (percent) (3-year average) is 4 %
182392,Suriname,Prevalence of severe food insecurity in the male adult population (percent) (3-year average),%,8.3,In Suriname the Prevalence of severe food insecurity in the male adult population (percent) (3-year average) is 8.3 %
182400,Suriname,Prevalence of severe food insecurity in the female adult population (percent) (3-year average),%,8.2,In Suriname the Prevalence of severe food insecurity in the female adult population (percent) (3-year average) is 8.2 %
182408,Suriname,Prevalence of severe food insecurity in the female adult population (percent) (3-year average),%,5.8,In Suriname the Prevalence of severe food insecurity in the female adult population (percent) (3-year average) is 5.8 %
182416,Suriname,Prevalence of severe food insecurity in the female adult population (percent) (3-year average),%,10.6,In Suriname the Prevalence of severe food insecurity in the female adult population (percent) (3-year average) is 10.6 %
182448,Suriname,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),%,31.3,In Suriname the Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average) is 31.3 %
182456,Suriname,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),%,25.9,In Suriname the Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average) is 25.9 %
182464,Suriname,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),%,36.7,In Suriname the Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average) is 36.7 %
182472,Suriname,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),%,40.4,In Suriname the Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average) is 40.4 %
182480,Suriname,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),%,35.2,In Suriname the Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average) is 35.2 %
182488,Suriname,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),%,45.6,In Suriname the Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average) is 45.6 %
182653,Suriname,Cereal import dependency ratio (percent) (3-year average),%,-8.5,In Suriname the Cereal import dependency ratio (percent) (3-year average) is -8.5 %
182674,Suriname,Percent of arable land equipped for irrigation (percent) (3-year average),%,0.4,In Suriname the Percent of arable land equipped for irrigation (percent) (3-year average) is 0.4 %
182695,Suriname,Value of food imports in total merchandise exports (percent) (3-year average),%,9,In Suriname the Value of food imports in total merchandise exports (percent) (3-year average) is 9 %
182717,Suriname,Political stability and absence of violence/terrorism (index),,0.4,
182741,Suriname,Per capita food supply variability (kcal/cap/day),kcal/cap/d,17,In Suriname the Per capita food supply variability (kcal/cap/day) is 17 kcal/cap/d
182764,Suriname,Percentage of population using safely managed drinking water services (percent),%,56,In Suriname the Percentage of population using safely managed drinking water services (percent) is 56 %
182787,Suriname,Percentage of population using at least basic drinking water services (percent),%,98,In Suriname the Percentage of population using at least basic drinking water services (percent) is 98 %
182810,Suriname,Percentage of population using safely managed sanitation services (percent),%,25,In Suriname the Percentage of population using safely managed sanitation services (percent) is 25 %
182833,Suriname,Percentage of population using at least basic sanitation services (percent),%,90,In Suriname the Percentage of population using at least basic sanitation services (percent) is 90 %
182856,Suriname,Percentage of children under 5 years affected by wasting (percent),%,,In Suriname the Percentage of children under 5 years affected by wasting (percent) is nan %
182903,Suriname,Percentage of children under 5 years of age who are stunted (modelled estimates) (percent),%,7.6,In Suriname the Percentage of children under 5 years of age who are stunted (modelled estimates) (percent) is 7.6 %
182949,Suriname,Percentage of children under 5 years of age who are overweight (modelled estimates) (percent),%,3.8,In Suriname the Percentage of children under 5 years of age who are overweight (modelled estimates) (percent) is 3.8 %
182995,Suriname,Prevalence of obesity in the adult population (18 years and older) (percent),%,29,In Suriname the Prevalence of obesity in the adult population (18 years and older) (percent) is 29 %
183018,Suriname,Number of obese adults (18 years and older) (million),million No,0.1,In Suriname the Number of obese adults (18 years and older) (million) is 0.1 million No
183038,Suriname,Prevalence of anemia among women of reproductive age (15-49 years) (percent),%,21,In Suriname the Prevalence of anemia among women of reproductive age (15-49 years) (percent) is 21 %
183081,Suriname,Prevalence of exclusive breastfeeding among infants 0-5 months of age (percent),%,,In Suriname the Prevalence of exclusive breastfeeding among infants 0-5 months of age (percent) is nan %
183102,Suriname,Prevalence of low birthweight (percent),%,16.5,In Suriname the Prevalence of low birthweight (percent) is 16.5 %
183147,Suriname,Minimum dietary energy requirement  (kcal/cap/day),kcal/cap/d,1846,In Suriname the Minimum dietary energy requirement  (kcal/cap/day) is 1846 kcal/cap/d
183171,Suriname,Average dietary energy requirement (kcal/cap/day),kcal/cap/d,2390,In Suriname the Average dietary energy requirement (kcal/cap/day) is 2390 kcal/cap/d
183195,Suriname,Coefficient of variation of habitual caloric consumption distribution (real number),No,0.24,In Suriname the Coefficient of variation of habitual caloric consumption distribution (real number) is 0.24 No
183219,Suriname,Incidence of caloric losses at retail distribution level (percent),%,2.35,In Suriname the Incidence of caloric losses at retail distribution level (percent) is 2.35 %
183240,Suriname,Average fat supply (g/cap/day) (3-year average),g/cap/d,72.8,In Suriname the Average fat supply (g/cap/day) (3-year average) is 72.8 g/cap/d
183262,Sweden,Average dietary energy supply adequacy (percent) (3-year average),%,128,In Sweden the Average dietary energy supply adequacy (percent) (3-year average) is 128 %
183286,Sweden,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),kcal/cap/d,3244,In Sweden the Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) is 3244 kcal/cap/d
183308,Sweden,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average),kcal/cap/d,3258,In Sweden the Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average) is 3258 kcal/cap/d
183323,Sweden,"Share of dietary energy supply derived from cereals, roots and tubers (percent) (3-year average)",%,30,"In Sweden the Share of dietary energy supply derived from cereals, roots and tubers (percent) (3-year average) is 30 %"
183338,Sweden,Average protein supply (g/cap/day) (3-year average),g/cap/d,112.3,In Sweden the Average protein supply (g/cap/day) (3-year average) is 112.3 g/cap/d
183353,Sweden,Average supply of protein of animal origin (g/cap/day) (3-year average),g/cap/d,72.1,In Sweden the Average supply of protein of animal origin (g/cap/day) (3-year average) is 72.1 g/cap/d
183375,Sweden,Rail lines density (total route in km per 100 square km of land area),km,1.8,In Sweden the Rail lines density (total route in km per 100 square km of land area) is 1.8 km
183398,Sweden,"Gross domestic product per capita, PPP, (constant 2017 international $)",Int$/cap,64778,"In Sweden the Gross domestic product per capita, PPP, (constant 2017 international $) is 64778 Int$/cap"
183420,Sweden,Prevalence of undernourishment (percent) (3-year average),%,<2.5,In Sweden the Prevalence of undernourishment (percent) (3-year average) is <2.5 %
183474,Sweden,Prevalence of severe food insecurity in the male adult population (percent) (3-year average),%,2.1,In Sweden the Prevalence of severe food insecurity in the male adult population (percent) (3-year average) is 2.1 %
183482,Sweden,Prevalence of severe food insecurity in the male adult population (percent) (3-year average),%,1.2,In Sweden the Prevalence of severe food insecurity in the male adult population (percent) (3-year average) is 1.2 %
183490,Sweden,Prevalence of severe food insecurity in the male adult population (percent) (3-year average),%,2.9,In Sweden the Prevalence of severe food insecurity in the male adult population (percent) (3-year average) is 2.9 %
183498,Sweden,Prevalence of severe food insecurity in the female adult population (percent) (3-year average),%,1.5,In Sweden the Prevalence of severe food insecurity in the female adult population (percent) (3-year average) is 1.5 %
183506,Sweden,Prevalence of severe food insecurity in the female adult population (percent) (3-year average),%,0.5,In Sweden the Prevalence of severe food insecurity in the female adult population (percent) (3-year average) is 0.5 %
183514,Sweden,Prevalence of severe food insecurity in the female adult population (percent) (3-year average),%,2.5,In Sweden the Prevalence of severe food insecurity in the female adult population (percent) (3-year average) is 2.5 %
183546,Sweden,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),%,6.2,In Sweden the Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average) is 6.2 %
183554,Sweden,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),%,4.7,In Sweden the Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average) is 4.7 %
183562,Sweden,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),%,7.6,In Sweden the Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average) is 7.6 %
183570,Sweden,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),%,5.8,In Sweden the Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average) is 5.8 %
183578,Sweden,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),%,4.3,In Sweden the Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average) is 4.3 %
183586,Sweden,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),%,7.3,In Sweden the Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average) is 7.3 %
183745,Sweden,Cereal import dependency ratio (percent) (3-year average),%,-19.3,In Sweden the Cereal import dependency ratio (percent) (3-year average) is -19.3 %
183766,Sweden,Percent of arable land equipped for irrigation (percent) (3-year average),%,0.4,In Sweden the Percent of arable land equipped for irrigation (percent) (3-year average) is 0.4 %
183787,Sweden,Value of food imports in total merchandise exports (percent) (3-year average),%,7,In Sweden the Value of food imports in total merchandise exports (percent) (3-year average) is 7 %
183809,Sweden,Political stability and absence of violence/terrorism (index),,0.9,
183833,Sweden,Per capita food supply variability (kcal/cap/day),kcal/cap/d,34,In Sweden the Per capita food supply variability (kcal/cap/day) is 34 kcal/cap/d
183856,Sweden,Percentage of population using safely managed drinking water services (percent),%,99,In Sweden the Percentage of population using safely managed drinking water services (percent) is 99 %
183879,Sweden,Percentage of population using at least basic drinking water services (percent),%,99,In Sweden the Percentage of population using at least basic drinking water services (percent) is 99 %
183902,Sweden,Percentage of population using safely managed sanitation services (percent),%,96,In Sweden the Percentage of population using safely managed sanitation services (percent) is 96 %
183925,Sweden,Percentage of population using at least basic sanitation services (percent),%,99,In Sweden the Percentage of population using at least basic sanitation services (percent) is 99 %
183948,Sweden,Percentage of children under 5 years affected by wasting (percent),%,,In Sweden the Percentage of children under 5 years affected by wasting (percent) is nan %
183995,Sweden,Percentage of children under 5 years of age who are stunted (modelled estimates) (percent),%,,In Sweden the Percentage of children under 5 years of age who are stunted (modelled estimates) (percent) is nan %
184041,Sweden,Percentage of children under 5 years of age who are overweight (modelled estimates) (percent),%,,In Sweden the Percentage of children under 5 years of age who are overweight (modelled estimates) (percent) is nan %
184087,Sweden,Prevalence of obesity in the adult population (18 years and older) (percent),%,15.3,In Sweden the Prevalence of obesity in the adult population (18 years and older) (percent) is 15.3 %
184110,Sweden,Number of obese adults (18 years and older) (million),million No,1.3,In Sweden the Number of obese adults (18 years and older) (million) is 1.3 million No
184130,Sweden,Prevalence of anemia among women of reproductive age (15-49 years) (percent),%,13.6,In Sweden the Prevalence of anemia among women of reproductive age (15-49 years) (percent) is 13.6 %
184173,Sweden,Prevalence of exclusive breastfeeding among infants 0-5 months of age (percent),%,,In Sweden the Prevalence of exclusive breastfeeding among infants 0-5 months of age (percent) is nan %
